recipe_id,Cooking Time (HH:mm)
1,01:30
2,01:45
3,00:30
4,00:40
5,00:55
6,01:40
7,00:25
8,01:15
9,01:00
10,00:45
11,00:17
12,00:50
13,01:05
14,02:25
15,00:55
16,00:45
17,00:40
18,00:35
19,00:35
20,01:20
21,00:45
22,00:55
23,01:00
24,04:20
25,00:35
26,01:10
27,02:40
28,01:20
29,01:30
30,01:10
31,00:35
32,01:20
33,00:45
34,01:00
35,01:35
36,01:20
37,01:15
38,00:45
39,00:40
40,02:30
41,00:25
42,00:20
43,00:25
44,00:35
45,02:15
46,01:15
47,00:35
48,01:50
49,00:50
50,00:40
51,00:30
52,01:00
53,01:55
54,00:30
55,01:40
56,00:50
57,00:45
58,00:50
59,00:30
60,07:50
61,01:45
62,00:45
63,00:20
64,00:20
65,01:00
66,00:20
67,01:00
68,00:50
69,01:35
70,02:25
71,01:55
72,04:25
73,00:40
74,00:50
75,00:40
76,00:17
77,00:45
78,02:25
79,00:35
80,00:55
81,01:10
82,01:05
83,00:20
84,00:30
85,00:27
86,00:30
87,00:40
88,08:15
89,00:20
90,00:25
91,00:25
92,00:50
93,01:45
94,03:10
95,00:30
96,01:10
97,01:15
98,01:15
99,00:30
100,00:50
101,00:20
102,00:35
103,01:45
104,00:50
105,00:35
106,00:25
107,00:30
108,02:50
109,00:45
110,00:35
111,00:25
112,00:30
113,00:40
114,02:05
115,00:55
116,01:20
117,00:35
118,01:20
119,02:00
120,06:20
121,00:30
122,04:15
123,00:40
124,00:55
125,04:00
126,00:40
127,03:55
128,01:30
129,00:25
130,01:00
131,00:30
132,01:00
133,01:00
134,00:55
135,03:40
136,00:20
137,00:55
138,00:40
139,00:52
140,00:25
141,00:25
142,04:05
143,00:25
144,01:35
145,00:25
146,02:15
147,00:50
148,06:35
149,01:05
150,00:50
151,00:35
152,00:50
153,00:50
154,02:45
155,00:50
156,00:30
157,00:25
158,00:25
159,01:45
160,00:45
161,00:50
162,00:50
163,00:30
164,00:40
165,00:45
166,00:30
167,00:30
168,00:40
169,00:35
170,00:15
171,00:30
172,00:50
173,00:20
174,00:25
175,00:30
176,01:50
177,00:35
178,00:20
179,00:20
180,00:40
181,00:25
182,00:50
183,00:45
184,01:25
185,00:19
186,01:15
187,02:30
188,03:15
189,01:00
190,00:40
191,00:15
192,00:55
193,00:30
194,00:40
195,00:20
196,00:20
197,02:05
198,01:00
199,00:45
200,00:50
201,01:15
202,00:35
203,02:55
204,00:35
205,00:50
206,00:40
207,01:15
208,01:00
209,02:50
210,00:40
211,00:30
212,00:18
213,00:55
214,00:20
215,01:10
216,00:06
217,00:40
218,01:05
219,00:55
220,04:20
221,01:20
222,00:50
223,00:35
224,01:40
225,00:40
226,01:00
227,00:45
228,00:40
229,00:25
230,00:55
