recipe_id,kcal,Fat (g),Saturates (g),Carbs (g),Sugars (g),Fibre (g),Protein (g),Salt (g)
1,571,30,7,31,13,6,42,1.8
2,935,52,22,64,16,6,49,3
3,405,21,8,38,13,4,18,1.36
4,801,52,30,45,4,5,29,0.97
5,445,10,3,64,7,2,30,1.2
6,845,51,17,45,11,7,55,1.1
7,199,13,2,15,1,0,6,0.12
8,575,30,14,41,9,5,33,0.5
9,387,25,18,32,15,7,6,0.6
10,397,5,1,65,19,11,18,0.6
11,463,19,6,44,5,7,25,0.2
12,423,8,1,68,16,12,14,0.51
13,370,11,3,38,15,12,24,0.6
14,600,34,16,40,7,4,37,1.15
15,383,15,5,16,14,5,44,1.5
16,340,21,9.6,13.8,5,6.9,24.3,1.4
17,714,52,17,20,4,5,39,0.5
18,318,13,6,36,8,4,13,1.7
19,655,31,16,66,0,3,32,2.02
20,1214,62,20,69,22,12,65,3.71
21,702,31,6,55,17,14,43,0.7
22,620,59,34,17,13,0,6,0.01
23,444,13,2,41,12,10,36,0.3
24,474,25,9,10,9,4,48,1.84
25,333,5,1,42,2,3,32,0.9
26,391,23,3,43,0,3,5,0.42
27,1127,46,15,129,57,26,36,2.3
28,503,26,6,40,8,8,25,0.29
29,512,33,14,29,9,4,24,1.4
30,387,17,6,25,1,6,36,2.32
31,222,5,0,33,6,6,13,0.87
32,291,9,2,24,9,11,30,0.66
33,438,31,17,8,3,2,30,0.5
34,472,29,9,37,5,2,19,2.3
35,461,29,9,37,14,5,13,0.6
36,157,4,0.3,19,10,9,7,0.25
37,663,39,20,49,10,5,33,1.35
38,396,11,4,64,0,3,14,1.88
39,635,24,9,86,14,6,16,0.3
40,695,33,20,95,32,4,9,0.79
41,238,7,1,34,0,5,11,0.25
42,511,13,2,72,6,7,22,0.9
43,468,25,7,36,12,14,19,1.9
44,642,25,10,68,4,6,34,2.8
45,624,25,10,58,12,6,35,1.6
46,472,20,5,27,6,4,46,1.5
47,257,13,5,9,5,2,27,0.35
48,439,28,10,7,6,2,35,1.11
49,589,18,5,83,18,8,19,0.5
50,217,2,0.4,26,1,0.6,26,2.5
51,367,19,10,0,0,0,49,1.93
52,328,22,8,19,0,1,16,0
53,722,41,24,55,1,4,27,2.3
54,518,12,0.4,75,5,5,32,1.29
55,2460,133,66,240,29,25,63,2.9
56,169,4,0,24,10,7,9,0.99
57,513,32,17,25,8,2,30,1.1
58,354,23,4,10,8,3,24,0.6
59,445,17,7.7,63,3,4,15,1.45
60,599,43,15,17,15,4,33,0.7
61,497,18,5,46,32,12,40,1.37
62,382,17.7,3,10.7,7.4,2.1,46.8,0.8
63,516,27,10,44,3,6,21,2.5
64,517,30,5,17,15,3,41,2.8
65,455,15.7,7.5,50.5,7,5.7,27.1,1
66,196,13,2,1,1,0,20,0.8
67,394,19,8,31,3,2,23,0.6
68,450,27,7,19,14,2,32,1
69,816,52,13,51,17,11,31,1.5
70,316,8,2,38,17,17,15,2.2
71,295,12,4,13,11,4,34,0.87
72,332,16,8,11,10,2,35,0.9
73,179,6,1,17,9,2,16,0.17
74,419,19,8,45,27,10,11,0.9
75,857,58,32,46,4,4,35,1.5
